Abby        FKomodo         
Amber       FOtter          
Amy         FCoyote         
Amy Farrah  FApe            
Andrew      MGriffon        
Arielle     FTiger          
Ashley      FCoyote         
Blake       MFalcon         
Brooke      FKomodo         
Bubba       FChimp          
Camille     FTiger          
Colleen     FOtter          
Dana        FKomodo         
Daniel      MTRex           
Daphne      FLion           
Elizabeth   FOtter          
Emilia      FHawk           
Eric        MSalamander     
Erin        FViper          
Evon        MSalamander     
Franklin    MFalcon         
George      MOtter          
Ginger      FNewt           
Giselle     FMongoose       
Haley       FLion           
Heather     FViper          
Isabella    FPelican        
Jack        MWolf           
Jacqui      FHawk           
Jake        MToad           
Jason       MFalcon         
Jeff        MKomodo         
Jenni       FOtter          
Jessica     FOtter          
JoVanna     FKomodo         
Kara        FViper          
Kate        FHawk           
Kelsey      FMongoose       
Kerri       FUnicorn        
Kevin       MFalcon         
Kim         FFalcon         
Kip         MSalamander     
Kylie       FBoa            
Leonard     MAlbatross      
Leroy       MCheetah        
Lori        FTurtle         
Lynn        FAlligator      
Marty       MFrog           
Michael     MCobra          
Mickey      MEagle          
Natalie     FViper          
Nick        MCheetah        
Nikki       FAlligator      
Oscar       MVulture        
Rita        FKomodo         
Rob         FPlatypus       
Rosie       FMongoose       
Sara        FViper          
Scott       MTurtle         
Sean        MSnipe          
Shaggy      MCobra          
Shelley     FKomodo         
Stacey      FUnicorn        
Terri       FCheetah        
Tiffany     FOtter          
Tim         MApe            
Todd        MTiger          
Vincent     MFrog           
Walter      MTiger          
Willie      MChimp          
Zach        MHawk            
